Market_T,Success_Percentage
-4.96,53.33968932668408
-4.94,47.58077291722664
-4.93,34.25511121671896
-4.92,22.757635593101377
-4.9,34.88176084171458
-4.87,54.150648346757805
-4.85,26.274111866086592
-4.8,49.18001571238313
-4.77,20.906949106619923
-4.72,50.31390681489575
-4.71,49.8947196602219
-4.69,13.064936110453916
-4.68,35.43134778027817
-4.67,46.89625401423122
-4.66,60.129042010654366
-4.64,43.37542495613386
-4.62,22.827313559157616
-4.59,36.681177133480986
-4.54,17.718966342131267
-4.51,30.58086180262372
-4.49,43.536945835469176
-4.48,39.697878334412245
-4.46,33.51922237207919
-4.45,25.800710191503786
-4.33,46.33014837416167
-4.32,37.016311019751456
-4.3,46.23513833627416
-4.26,76.17926307373173
-4.23,22.196007705868283
-4.22,30.57656062878602
-4.2,41.89282851686924
-4.16,75.52603085883577
-4.15,39.65667223995276
-4.13,72.90042943555434
-4.12,44.5407125951479
-4.04,69.51159096674081
-4.02,65.4298206569223
-3.95,22.23276538954778
-3.94,40.50459399365264
-3.93,38.16654275490136
-3.92,34.7324172727129
-3.91,62.8537084203479
-3.89,85.99585218876668
-3.88,73.54372202649212
-3.87,15.032475716270513
-3.73,44.94729724142486
-3.72,35.53549615955414
-3.71,37.40997206493199
-3.69,33.96878142923788
-3.65,18.85345683521816
-3.63,63.19760220269843
-3.62,68.0968533924061
-3.6,42.81104081991132
-3.54,13.575619677151131
-3.51,42.26330697239347
-3.48,74.62227688892303
-3.47,43.38869024207493
-3.46,68.21637339750376
-3.44,58.9899432760739
-3.43,44.93607794680999
-3.41,36.92778962050413
-3.4,83.37992440317895
-3.37,50.14395438973112
-3.36,48.43753843103959
-3.31,30.670532395932536
-3.29,29.7593159046965
-3.25,48.57898174613754
-3.24,54.84961799959313
-3.23,32.26895294811729
-3.2,39.91970278028324
-3.17,43.21060411943052
-3.15,60.61182662565
-3.14,37.25158762057446
-3.13,74.27323134617401
-3.05,26.04468915137833
-3.04,32.61789520766979
-3.03,57.922643245133
-2.99,64.07870903266965
-2.95,22.268968485903805
-2.92,21.91879174072537
-2.9,23.11126459522341
-2.88,74.25916041520985
-2.87,45.48434968691032
-2.85,40.03010505621573
-2.84,64.0558062261016
-2.81,45.50002395817813
-2.8,28.87585637346679
-2.79,48.425882395091136
-2.76,35.95401625230823
-2.75,31.72624495540209
-2.72,33.4727424860911
-2.71,38.4466428392395
-2.7,30.55609047407409
-2.69,58.78721438009047
-2.65,38.73801246707939
-2.6,54.3945808589495
-2.58,59.56439838219725
-2.57,44.545624476943935
-2.55,43.282318955698386
-2.54,49.308600529668674
-2.53,40.90479027201222
-2.52,40.90134935103213
-2.44,38.65819182518785
-2.43,43.24748301921353
-2.42,64.13878604100168
-2.41,45.8565971836738
-2.4,44.268872571082944
-2.39,71.62999505214317
-2.37,67.00158665371393
-2.33,44.566328004051215
-2.28,37.01465451266673
-2.26,35.74104816405019
-2.25,20.564539046079453
-2.23,44.09044779437979
-2.2,42.603328524489214
-2.11,82.52928940108364
-2.08,50.11241052575062
-2.06,48.53930476075511
-2.01,41.30195955998449
-1.96,43.22336589085656
-1.92,56.69428806619878
-1.87,64.42635524533759
-1.82,74.78932979488098
-1.8,38.73041869575872
-1.76,38.26407122816926
-1.74,49.78333561621895
-1.72,91.80234172952964
-1.7,43.78338422614197
-1.69,41.28924352198585
-1.68,53.71071009334754
-1.67,67.15619943552757
-1.64,45.725753839030666
-1.63,60.78487239787791
-1.62,41.451060447245794
-1.58,46.85876165872995
-1.57,62.62962703013618
-1.56,33.83720411972815
-1.55,33.58558973355219
-1.54,26.23489876997499
-1.53,65.55142253347908
-1.52,29.38748885028821
-1.5,68.20873243350685
-1.47,26.54312258823186
-1.46,55.46631796194772
-1.45,57.56073669447855
-1.43,33.74970413476138
-1.4,37.83077692176908
-1.38,47.85164778186178
-1.37,58.60758774366858
-1.36,58.43009041556643
-1.34,27.47052926883321
-1.33,31.284000042504207
-1.32,37.580539301546935
-1.31,54.17673838278051
-1.29,31.098366861640933
-1.26,43.00728017568146
-1.25,42.83849263354733
-1.17,100.0
-1.12,69.99049540677737
-1.1,30.906459509604527
-1.09,72.38201772707124
-0.99,49.13557642102928
-0.98,60.13891716201024
-0.91,65.9634333904484
-0.83,42.50900449756558
-0.81,53.83259665829684
-0.77,50.5854856064718
-0.75,49.59406088655523
-0.74,59.515870386099294
-0.73,40.02871150735808
-0.71,47.610221388814814
-0.7,33.23256409603556
-0.69,21.010843528032417
-0.65,72.77258332115765
-0.64,53.07917339525958
-0.63,56.81516748023597
-0.59,59.76209798818238
-0.58,53.75320915854947
-0.55,30.4834325572402
-0.54,46.86034383180351
-0.52,63.98885578528921
-0.5,50.09365523324518
-0.49,41.069145793340084
-0.47,64.50015941695123
-0.42,50.69850056889325
-0.4,28.11192428028445
-0.39,75.52165061404443
-0.36,42.030367396005374
-0.32,77.89482915439295
-0.31,66.28368848555539
-0.27,35.893094551176674
-0.24,65.05917630376996
-0.23,43.67841947986562
-0.19,66.6060591374567
-0.17,48.5041721241014
-0.16,64.16781991244663
-0.13,41.07848426922308
-0.12,51.57776662384708
-0.11,44.47534334858005
-0.08,54.7881574675689
0.0,48.75553961619166
0.01,48.66311500895388
0.08,71.01551052873762
0.1,48.17882730066446
0.17,43.52225988725439
0.18,62.73339059048377
0.19,40.20992912072886
0.2,33.387755564658534
0.22,49.21385950236596
0.26,10.238240306267144
0.3,57.21574171555356
0.33,35.672077974973405
0.35,35.11459735494368
0.36,68.80771758293108
0.37,39.438337638337885
0.41,55.88040216483625
0.42,15.997102227793995
0.44,55.18533437582689
0.46,76.632141529307
0.47,20.43906948205432
0.49,46.52769584062232
0.5,26.55381743161221
0.51,28.835663895172264
0.52,12.04211145282738
0.53,51.35812990871251
0.57,63.13234618096661
0.59,48.26370858311796
0.61,46.62094036965971
0.62,59.40585047685387
